album,artistPrimary,artists,id,songLength,title,year,acousticness,analysis_url,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,genre
The War Report,Capone-N-Noreaga,"Capone-N-Noreaga, Tragedy Khadafi",70usN5I0KNmTvMdEwDDWpL,268586,T.O.N.Y. (Top Of New York),1997,0.0793,https://api.spotify.com/v1/audio-analysis/70usN5I0KNmTvMdEwDDWpL,0.691,268587,0.733,0.0,8,0.116,-6.038,0,0.47,169.938,4,https://api.spotify.com/v1/tracks/70usN5I0KNmTvMdEwDDWpL,audio_features,spotify:track:70usN5I0KNmTvMdEwDDWpL,0.533,Boom Bap
Don Cartagena,Fat Joe,"Fat Joe, Nas, Big Pun, Jadikiss, Raekwon",7t5t1cg1BcS0CdPE8YNLJe,290400,"John Blaze (feat. Nas, Big Punisher, Jadikiss and Raekwon)",1998,0.1,https://api.spotify.com/v1/audio-analysis/7t5t1cg1BcS0CdPE8YNLJe,0.694,290400,0.89,0.0,6,0.0514,-3.918,0,0.331,91.238,4,https://api.spotify.com/v1/tracks/7t5t1cg1BcS0CdPE8YNLJe,audio_features,spotify:track:7t5t1cg1BcS0CdPE8YNLJe,0.748,Boom Bap
The Infamous,Mobb Deep,Mobb Deep,33ZXjLCpiINn8eQIDYEPTD,325506,"Shook Ones, Pt. II",1995,0.0146,https://api.spotify.com/v1/audio-analysis/33ZXjLCpiINn8eQIDYEPTD,0.763,325507,0.786,0.0114,10,0.0817,-6.472,0,0.229,93.857,4,https://api.spotify.com/v1/tracks/33ZXjLCpiINn8eQIDYEPTD,audio_features,spotify:track:33ZXjLCpiINn8eQIDYEPTD,0.504,Boom Bap
Bacdafucup,Onyx,Onyx,0W2mz7mvaBaEsC4rmoRNPn,218506,Slam,1993,0.0706,https://api.spotify.com/v1/audio-analysis/0W2mz7mvaBaEsC4rmoRNPn,0.879,218507,0.692,0.00426,4,0.915,-12.958,1,0.352,98.329,4,https://api.spotify.com/v1/tracks/0W2mz7mvaBaEsC4rmoRNPn,audio_features,spotify:track:0W2mz7mvaBaEsC4rmoRNPn,0.804,Boom Bap
Hard To Earn,Gang Starr,Gang Starr,7vcepKD1pjulQvPOkiQmUe,243266,DWYCK - Feat. Nice and Smooth,1994,0.00432,https://api.spotify.com/v1/audio-analysis/7vcepKD1pjulQvPOkiQmUe,0.911,243267,0.614,8.75e-06,7,0.0985,-11.176,1,0.338,99.025,4,https://api.spotify.com/v1/tracks/7vcepKD1pjulQvPOkiQmUe,audio_features,spotify:track:7vcepKD1pjulQvPOkiQmUe,0.601,Boom Bap
When Disaster Strikes,Busta Rhymes,Busta Rhymes,1NHwvBmrUje4L1dxfWnXCH,194293,Put Your Hands Where My Eyes Could See,1997,0.00864,https://api.spotify.com/v1/audio-analysis/1NHwvBmrUje4L1dxfWnXCH,0.906,194293,0.623,4.19e-06,1,0.0753,-6.711,0,0.303,99.498,4,https://api.spotify.com/v1/tracks/1NHwvBmrUje4L1dxfWnXCH,audio_features,spotify:track:1NHwvBmrUje4L1dxfWnXCH,0.715,Boom Bap
Live and Let Die (Deluxe Version),Kool G Rap & DJ Polo,Kool G Rap & DJ Polo,5t7VSlim3ULPj2uIDWVi7e,226306,Ill Street Blues,2008,0.105,https://api.spotify.com/v1/audio-analysis/5t7VSlim3ULPj2uIDWVi7e,0.699,226307,0.692,0.0,2,0.096,-8.282,1,0.426,178.099,4,https://api.spotify.com/v1/tracks/5t7VSlim3ULPj2uIDWVi7e,audio_features,spotify:track:5t7VSlim3ULPj2uIDWVi7e,0.909,Boom Bap
Legal Drug Money,Lost Boyz,Lost Boyz,02nH7HXbs3i9kdWef9or8E,272466,"Jeeps, Lex Coups, Bimaz & Benz",1995,0.00996,https://api.spotify.com/v1/audio-analysis/02nH7HXbs3i9kdWef9or8E,0.598,272467,0.661,0.0,1,0.603,-9.269,0,0.428,177.89,4,https://api.spotify.com/v1/tracks/02nH7HXbs3i9kdWef9or8E,audio_features,spotify:track:02nH7HXbs3i9kdWef9or8E,0.549,Boom Bap
Breaking Atoms (2017 Remastered Version),Main Source,"Main Source, Nas",4PvcavllGpo6lB8VkIgXIZ,275090,Live at the Barbeque - 2017 Remastered Version,2017,0.0794,https://api.spotify.com/v1/audio-analysis/4PvcavllGpo6lB8VkIgXIZ,0.767,275090,0.909,0.0,6,0.389,-4.347,0,0.276,102.074,4,https://api.spotify.com/v1/tracks/4PvcavllGpo6lB8VkIgXIZ,audio_features,spotify:track:4PvcavllGpo6lB8VkIgXIZ,0.39,Boom Bap
Hard Core,Lil' Kim,Lil' Kim,5Pe9H08rkbraYpP3dllcfe,300666,No Time,1996,0.256,https://api.spotify.com/v1/audio-analysis/5Pe9H08rkbraYpP3dllcfe,0.627,300667,0.814,1.15e-06,5,0.285,-5.863,0,0.304,90.42,4,https://api.spotify.com/v1/tracks/5Pe9H08rkbraYpP3dllcfe,audio_features,spotify:track:5Pe9H08rkbraYpP3dllcfe,0.799,Boom Bap
Tical,Method Man,Method Man,3F3R4uyTMkX9jRCEVVmdz6,189760,Bring The Pain,1994,0.428,https://api.spotify.com/v1/audio-analysis/3F3R4uyTMkX9jRCEVVmdz6,0.841,189760,0.458,0.00355,6,0.131,-10.501,0,0.263,101.893,4,https://api.spotify.com/v1/tracks/3F3R4uyTMkX9jRCEVVmdz6,audio_features,spotify:track:3F3R4uyTMkX9jRCEVVmdz6,0.224,Boom Bap
Only Built 4 Cuban Linx,Raekwon,"Raekwon, Ghostface Killah, Method Man, Cappadonna",6SI4JD7iyQ0rrudhCNtMv0,253226,Ice Cream,1995,0.219,https://api.spotify.com/v1/audio-analysis/6SI4JD7iyQ0rrudhCNtMv0,0.683,253227,0.902,0.000761,1,0.226,-7.389,0,0.291,90.447,4,https://api.spotify.com/v1/tracks/6SI4JD7iyQ0rrudhCNtMv0,audio_features,spotify:track:6SI4JD7iyQ0rrudhCNtMv0,0.724,Boom Bap
Bad Boy's 10th Anniversary- The Hits,Craig Mack,Craig Mack,5PbFD3AIyunz5HxocduA9e,302013,"Flava In Ya Ear Remix - feat. Notorious B.I.G., L.L. Cool J, Busta Rhymes, Rampage",2004,0.272,https://api.spotify.com/v1/audio-analysis/5PbFD3AIyunz5HxocduA9e,0.52,302013,0.847,0.0,9,0.325,-5.3,1,0.427,177.371,4,https://api.spotify.com/v1/tracks/5PbFD3AIyunz5HxocduA9e,audio_features,spotify:track:5PbFD3AIyunz5HxocduA9e,0.799,Boom Bap
A Wolf In Sheep's Clothing,Black Sheep,Black Sheep,4k9EkhkFZY8Bk41Qi0Ob7P,243200,The Choice Is Yours (Revisited),1991,0.0403,https://api.spotify.com/v1/audio-analysis/4k9EkhkFZY8Bk41Qi0Ob7P,0.847,243200,0.684,0.0,10,0.0781,-12.048,0,0.248,101.277,4,https://api.spotify.com/v1/tracks/4k9EkhkFZY8Bk41Qi0Ob7P,audio_features,spotify:track:4k9EkhkFZY8Bk41Qi0Ob7P,0.688,Boom Bap
